candidate,selected,model,image_size,epochs_completed,validation_ap50,validation_ap50_95,validation_precision,validation_recall,validation_f1,validation_detection_accuracy,test_ap50,test_ap50_95,test_precision,test_recall,test_f1,test_detection_accuracy,test_loss_total
yolo26m-832,False,yolo26m.pt,832,5,0.2404903366707199,0.09091607725938083,0.37035015916325603,0.49175774409757866,0.422505252782029,0.2678330647548262,0.20839234206412913,0.0843944863285099,0.2962451684152402,0.41778066190785207,0.3466695385278122,0.2096795205836373,4.422564731910825
yolo26s-960,True,yolo26s.pt,960,7,0.2645741598706669,0.0982969196041058,0.3536857154871536,0.5075122186689194,0.4168607820786044,0.2633127758820399,0.2083076185090999,0.08516033575457502,0.29687627436587555,0.47408179213336804,0.36511359646923114,0.22332658445303394,4.291820992715657
